Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK EAST,LOBO-OYEA
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,AGILE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,AREMO CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,AREMO EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,AREMO LOBOLWALA
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,AREMO NEW LINE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,CHWAILAI
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,GOLGOTA
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,MISSION
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,ST. JOSEPH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AREMO,WIPOLO
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,ODOLO EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,ODOLO WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,RACHKOKO CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,RACHKOKO NORTH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,RACHKOKO SOUTH EAST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,RACHKOKO SOUTH WEST
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,KATABOK WEST,RACHKOKO SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AKWANGAGWEL,AJWACHI NEW LINE
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AKWANGAGWEL,AKWANGAGWEL CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AKWANGAGWEL,AKWANGAGWEL NORTH
KARAMOJA,ABIM,LABWOR COUNTY,MORULEM,AKWANGAGWEL,AKWANGAGWEL SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ORETHA,AGULE
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ORETHA,BULLA
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ORETHA,GEREGERE NORTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ORETHA,GEREGERE SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ORETHA,NYIKINYIKI NORTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ORETHA,NYIKINYIKI SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,ABUR
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,AKUMAMER
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,ANGADA
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,ATHEDER
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,KATHEBAKUME
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,KAPUNABONG
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,OTHUTHUA
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,TYEN KWORO
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,AGULERUKA
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,OLULUNG
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,ROGOM,ROGOM CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,AGULE ANGOLOL
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,AKONGUCHWA WEST
KARAMOJA,ABIM,LABWOR COUNTY,NYAKWAE,OPOPONGO,ARIAMATHOLIM
